Frame,Theta,GMNIA_ALR_H,GMNIA_ALR_V,GNA_ALR_H,GNA_ALR_V,GNA_Notional_Loads_ALR_H,GNA_Notional_Loads_ALR_V,GMNIA_del2_over_del1,GNA_del2_over_del1,GNA_Notional_Loads_del2_over_del1
W8X31_x_1X2.1335999999999995,69.0,2.3441253873147136,6.10665541276468,2.497584427155547,6.506429879332446,2.4411643971586283,6.359450676157776,1.2441704160069367,1.2644337328049016,1.2569067921317627
W8X31_x_1X2.1335999999999995,70.0,2.2748242803519636,6.2500283434941295,2.424370727959471,6.66090383145541,2.3689839180251413,6.508729821825214,1.2513616742538778,1.2724432376051984,1.2645522385073904
W8X31_x_1X2.1335999999999995,71.0,2.2031296495334454,6.398353093105155,2.35040143251915,6.82606140722695,2.2943111428931418,6.6631633779631105,1.2588902006517149,1.281120817467687,1.2725611560058687
W8X31_x_1X2.1335999999999995,72.0,2.1288692820992656,6.551985942315008,2.27362283182281,6.997491559246842,2.21696677675347,6.823122151278639,1.2667852177203542,1.2902552861959076,1.2809653409592008
W8X31_x_1X2.1335999999999995,73.0,2.051855168919326,6.711315852009994,2.193822231145069,7.175669189229568,2.1367550818144005,6.989010954411927,1.2750793342984403,1.299889732991929,1.2898003151475124
W8X31_x_1X2.1335999999999995,74.0,1.9718816053910593,6.876768392184979,2.1107660188779116,7.361115901803401,2.0534619010339363,7.1612726935427595,1.283809054621249,1.3100727425505545,1.2991058920374325
W8X31_x_1X2.1335999999999995,75.0,1.8904699912019485,7.055330057349961,2.024196984873544,7.554405992075798,1.9672198577837434,7.341764458907352,1.2933668935851848,1.3208593045194807,1.309002620120886
W8X31_x_1X2.1335999999999995,76.0,1.8062618271480355,7.24452049729896,1.9338312171824685,7.756173374551862,1.879211256313567,7.537104676908397,1.3036516997216938,1.332311909601904,1.3198865021228054
W8X31_x_1X2.1335999999999995,77.0,1.7182041216587143,7.442359700060321,1.8396572427144273,7.968430963769657,1.7872176060741667,7.741289942806139,1.314584815022966,1.3445783609445507,1.3314602600807448
W8X31_x_1X2.1335999999999995,78.0,1.625969228324073,7.649583788658878,1.7434231052092048,8.202160834327643,1.6909019393549296,7.955068176064708,1.3262368665022157,1.3583522002278092,1.3437993988204713
W8X31_x_1X2.1335999999999995,79.0,1.529192310395322,7.867012441635166,1.6421499714366838,8.448129230380117,1.5898893312939675,8.179271544256727,1.338689025407065,1.3731582527052977,1.3569907521339586
W8X31_x_1X2.1335999999999995,80.0,1.4274658633820392,8.095561199123452,1.535364624746894,8.707485482811222,1.4837613515758366,8.414828777843438,1.352035056294921,1.3891271798768026,1.3711346957028707
W8X31_x_1X2.1335999999999995,81.0,1.3204416627984565,8.336940548533786,1.4225337807381346,8.98152481281181,1.3732840746127235,8.670574406165194,1.3664251099007647,1.4064125491190536,1.386831674526886
W8X31_x_1X2.1335999999999995,82.0,1.2084538233613997,8.598595745645136,1.3030937246680252,9.27199363393173,1.2575670676752364,8.948054637203867,1.382377260052764,1.42521454199106,1.4042781402815854
W8X31_x_1X2.1335999999999995,83.0,1.0898111647596582,8.875799666877153,1.1790703700348648,9.602757556524132,1.1348223889090647,9.242386669497137,1.3996926212645824,1.4472521625953387,1.4232749036941021
W8X31_x_1X2.1335999999999995,84.0,0.9638232349164318,9.170165526442727,1.0464617060383588,9.956418058636487,1.0043077914712684,9.555350352273026,1.4185657559983753,1.4715888641267392,1.4440514702547331
W8X31_x_1X2.1335999999999995,85.0,0.8297018023315277,9.48353499634472,0.9042545815649646,10.335677162299124,0.8660707948132653,9.899234482609714,1.439229976672028,1.4986216230556881,1.4675980410618015
W8X31_x_1X2.1335999999999995,86.0,0.6873626072228329,9.829743243237113,0.7522470755991852,10.757634370731505,0.7190639493159872,10.283093556401164,1.4627775607013285,1.5298999449264092,1.4948139114596313
W8X31_x_1X2.1335999999999995,87.0,0.5358538433597511,10.224700429791884,0.5891133056226571,11.240951509145294,0.5605992526005492,10.69687096590933,1.4906083207394747,1.5673846672443443,1.5253148350067909
W8X31_x_1X2.1335999999999995,88.0,0.3719728863401591,10.651909787613944,0.4109730524174263,11.768728421478333,0.3894905660825698,11.153550501646613,1.5219399363163895,1.6104920224598926,1.560469503678584
W8X31_x_1X2.1335999999999995,89.0,0.1959097961522736,11.2236647046536,0.21612209947479027,12.381626786469846,0.203865851231245,11.679466794860076,1.5660120379702709,1.6636519205838856,1.6030341886374533
W8X31_x_1X2.1335999999999995,90.0,0.0,13.854635916931958,0.0,13.23967030790763,0.0,12.184203919305457,1.7782740356542985,1.718589293414971,1.6250439072628513
W8X31_x_1X2.2859999999999996,0.0,5.115748298513403,0.0,5.059194010486492,0.0,5.059194010486492,0.0,1.0,1.0,1.0
W8X31_x_1X2.2859999999999996,1.0,5.069144331214685,0.08848224343185843,5.028149825389386,0.08776668167097765,5.026376665263404,0.0877357310458505,1.0032674014052478,1.0032408910644954,1.0032397444286942
